"","means.SCFAs","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"Acerola full spectrum",0.571027807282609,0.199200608468425,46,0.0368127338535818,0,0.79278154,0.54150653525,0.6038381635,0.71081352525
"Acerola green + OBG 28%",0.582762690785714,0.235868193415839,42,0.0385258599587693,0,0.837114751,0.555856679,0.629797888,0.72745529875
"Acerola red 20% vit C",0.530505483888889,0.266825852384334,45,0.0372195167422307,0,0.838062078,0.494464141,0.600285752,0.72275926
"Agrifiber",0.531528133138889,0.287819915872068,36,0.0416126847626597,0,0.92539976,0.50848250075,0.6039721845,0.69242398275
"Ascorbic acid (Vit c)",0.525003031863636,0.247945051970847,44,0.0376400896028404,0,0.762338948,0.5125993675,0.58908176,0.69438435725
"AXOS",0.607550035636364,0.21836634034589,11,0.0752801792056809,0,0.845892759,0.603886586,0.628819045,0.72086967
"Carrot juice + Green Acerola",0.521551918340909,0.284279442800986,44,0.0376400896028404,0,0.890092406,0.4993338415,0.587530706,0.72432434725
"Carrot juice pro vit A",0.579301907952381,0.220542978503274,42,0.0385258599587693,0,0.958736099,0.5325683635,0.600913835,0.72021213225
"Gingest",0.579085783826087,0.253808654448626,46,0.0368127338535818,0,0.913707177,0.53606638225,0.6137954165,0.7502500145
"Green Acerola 34% Vit C",0.554948842772727,0.224935740984063,44,0.0376400896028404,0,0.817176714,0.52773348375,0.575953099,0.712585133
"Inulin",0.6612844553,0.194034755015332,40,0.0394772590213764,0,0.911564106,0.588961914,0.683968061,0.776246638
"lantamanen OBG-29% GF",0.536200474978261,0.250341629972825,46,0.0368127338535818,0,0.810699449,0.48427902625,0.6015039715,0.708749686
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",0.548686452790698,0.272242122578595,43,0.0380752496040418,0,0.945342383,0.532395397,0.592818001,0.72853521
"OBG 28% (OatWell Bran)",0.54184437597561,0.287285719640279,41,0.0389928571300155,0,0.886191059,0.539329134,0.613460685,0.757319538
"Red Acerola 20% Vit C",0.553944634234042,0.222895821006158,47,0.0364190034546596,0,0.842050522,0.49559796,0.567305991,0.7104702755
"Resistant starch postbiotic candidate 1",0.547642188166667,0.271538995768572,42,0.0385258599587693,0,0.922905186,0.5011088635,0.6014609905,0.733322766
"Resistant starch postbiotic candidate 2",0.515808313829268,0.265794177692895,41,0.0389928571300155,0,0.886117193,0.49466243,0.554325675,0.683640367
"Super B-glucan (SBG)",0.63931810625,0.236471862684567,32,0.0441369173685822,0,0.913201373,0.62285798625,0.6547578585,0.7862422065
"Yeast B-glucans (YBG-Wellmune)",0.597003557810811,0.259292369442772,37,0.04104649940423,0,0.951458832,0.604104453,0.640689766,0.722502196
